text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence,judge_reason,stored_verdict,stt_model
atorvastatin,drug,a-TOR-va-STAT-in,HELPS,0.029,Please take your adivistatin as prescribed.,Please take your atorvastatin as prescribed.,Please take your atorvastatin as prescribed.,"The ""with dictionary"" transcript correctly recovers ""atorvastatin"" while the ""without dictionary"" transcript produced the garbled ""adivistatin.""",HELPS,
Lipitor,drug,LIP-i-tor,WASH,0.074,Please take your lipidur as prescribed.,Please take your LIPI tour as prescribed.,Please take your Lipitor as prescribed.,"Both transcripts fail to clearly produce ""Lipitor"" — the without-dictionary version says ""lipidur"" and the with-dictionary version fragments it as ""LIPI tour,"" neither matching the target.",HURTS,distil-whisper/distil-large-v2
lisinopril,drug,ly-SIN-oh-pril,WASH,0.077,Please take your Lysenaprol as prescribed.,Please take your Lysenopril as prescribed.,Please take your lisinopril as prescribed.,"Both transcripts mispronounce the term (Lysenaprol vs Lysenopril), and neither recovers the correct ""lisinopril"" pronunciation; the dictionary version is marginally closer but still wrong.",HELPS,
metoprolol,drug,me-TOE-pro-lol,HURTS,-0.044,Please take your Metaprolol as prescribed.,Please take your Mito Prolal as prescribed.,Please take your metoprolol as prescribed.,"The without-dictionary transcript ""Metaprolol"" is a much closer rendering of ""metoprolol"" than the with-dictionary ""Mito Prolal,"" which is fragmented and incorrect.",HURTS,
amlodipine,drug,am-LOE-di-peen,HURTS,-0.045,Please take your amlodipine as prescribed.,Please take your amloidopine as prescribed.,Please take your amlodipine as prescribed.,"The without-dictionary transcript correctly rendered ""amlodipine,"" while the with-dictionary transcript garbled it to ""amloidopine.""",WASH,
losartan,drug,loe-SAR-tan,HELPS,0.0,Please take your Lusartan as prescribed.,Please take your Losartan as prescribed.,Please take your losartan as prescribed.,"The dictionary corrected the mispronunciation from ""Lusartan"" to the correct ""Losartan.""",WASH,
metoprolol succinate,drug,me-TOE-pro-lol SUK-si-nate,WASH,0.042,Please take your metaprolol sussonate as prescribed.,Please take your METO ProLol SUK Sinate as prescribed.,Please take your metoprolol succinate as prescribed.,"Both transcripts are garbled and neither clearly recovers ""metoprolol succinate""; the dictionary version is arguably worse with awkward capitalization/fragmentation.",HURTS,
metoprolol tartrate,drug,me-TOE-pro-lol TAR-trate,HURTS,-0.014,Please take your metaprolol tartrate as prescribed.,Please take your Mito-Prolol Tar Trait as prescribed.,Please take your metoprolol tartrate as prescribed.,"The without-dictionary transcript ""metaprolol tartrate"" is a closer match to ""metoprolol tartrate"" than the with-dictionary transcript ""Mito-Prolol Tar Trait,"" which is more garbled.",WASH,
carvedilol,drug,kar-VE-di-lol,WASH,0.0,Please take your carved ailal as prescribed.,Please take your CARV-E-Dolol as prescribed.,Please take your carvedilol as prescribed.,"Both transcripts fail to clearly produce ""carvedilol"" — the without-dictionary version says ""carved ailal"" and the with-dictionary version says ""CARV-E-Dolol,"" neither matching the target, with no meaningful improvement.",WASH,
valsartan,drug,val-SAR-tan,WASH,0.0,Please take your Valsartan as prescribed.,Please take your Valsartan as prescribed.,Please take your valsartan as prescribed.,"Both transcripts are identical and correctly render ""Valsartan,"" so the dictionary entry made no difference.",WASH,
enalapril,drug,e-NAL-a-pril,WASH,0.04,Please take your Enelapril as prescribed.,Please take your Enalapril as prescribed.,Please take your enalapril as prescribed.,"Both transcripts are essentially the same, with only a minor spelling variation (""Enelapril"" vs ""Enalapril"") that doesn't meaningfully affect pronunciation recovery.",WASH,
ramipril,drug,ra-MI-pril,HURTS,-0.064,Please take your Ramipril as prescribed.,Please take your Ram-Eye Pril as prescribed.,Please take your ramipril as prescribed.,"The without-dictionary transcript correctly produced ""Ramipril,"" while the with-dictionary transcript fragmented it into ""Ram-Eye Pril.""",WASH,
felodipine,drug,fe-LOE-di-peen,WASH,-0.013,Please take your felidipine as prescribed.,Please take your phyloedipine as prescribed.,Please take your felodipine as prescribed.,"Both transcripts mispronounce the drug name and neither recovers the correct ""felodipine"" pronunciation.",HURTS,
nimodipine,drug,ny-MOE-di-peen,WASH,-0.038,Please take your Nymotipine as prescribed.,Please take your nymotepine as prescribed.,Please take your nimodipine as prescribed.,"Both transcripts mispronounce the drug name similarly; the dictionary did not recover the correct ""nimodipine"" pronunciation.",HELPS,
nicardipine,drug,ny-KAR-di-peen,HURTS,-0.122,Please take your nicardipine as prescribed.,Please take your Ny-K-R-Dipine as prescribed.,Please take your nicardipine as prescribed.,"The without-dictionary transcript correctly produced ""nicardipine,"" while the with-dictionary transcript mangled it into ""Ny-K-R-Dipine,"" which is clearly worse.",HELPS,
nitroglycerin,drug,ny-tro-GLIS-er-in,WASH,-0.055,Please take your nitroglycerin as prescribed.,Please take your nitro-G-elicerin as prescribed.,Please take your nitroglycerin as prescribed.,"Both transcripts fail to clearly produce ""nitroglycerin"" — the without-dictionary version is a clean attempt at the word, while the with-dictionary version fragments it into ""nitro-G-elicerin,"" which is worse.",HURTS,
hydralazine,drug,hy-DRAL-a-zeen,WASH,-0.074,Please take your Hydralazine as prescribed.,Please take your Hydralisine as prescribed.,Please take your hydralazine as prescribed.,"Both transcripts attempt the drug name but neither matches the target ""hydralazine"" cleanly; the dictionary version (""Hydralisine"") is not closer to the target than the baseline.",HELPS,
clonidine,drug,KLON-i-deen,WASH,-0.011,Please take your Clonodyne as prescribed.,Please take your Kalani-Deen as prescribed.,Please take your clonidine as prescribed.,"Both transcripts are wrong; the dictionary version (""Kalani-Deen"") is no closer to ""clonidine"" than the original (""Clonodyne"").",HURTS,
spironolactone,drug,spir-oh-no-LAK-tone,HURTS,-0.033,Please take your Spironolactone as prescribed.,Please take your Spirono-Electonus prescribed.,Please take your spironolactone as prescribed.,"The without-dictionary transcript correctly rendered ""spironolactone,"" while the with-dictionary transcript garbled it into ""Spirono-Electonus.""",HELPS,
