text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence
SICU,acronym,surgical intensive care unit,HELPS,1.0,,surgical intensive care unit,The patient has a history of SICU.
OS,acronym,left eye,HELPS,1.0,azz,left eye,The patient has a history of OS.
OU,acronym,both eyes,HELPS,1.0,,both eyes,The patient has a history of OU.
AU,acronym,both ears,HELPS,1.0,,both ears,The patient has a history of AU.
HEENT,acronym,head eyes ears nose and throat,HELPS,1.0,,head eyes ears nose and throat,The patient has a history of HEENT.
GU,acronym,genitourinary,HELPS,1.0,,genitourinary,The patient has a history of GU.
GYN,acronym,gynecology,HELPS,1.0,,gynecology,The patient has a history of GYN.
LR,acronym,lactated Ringer's,HELPS,1.0,,lactated ringers,The patient has a history of LR.
KCl,acronym,potassium chloride,HELPS,1.0,,potassium chloride,The patient has a history of KCl.
OB,acronym,obstetrics,HELPS,0.947,aug,obstetric,The patient has a history of OB.
INR,acronym,international normalized ratio,HELPS,0.938,an,international normalized ratio,The patient has a history of INR.
UTI,acronym,urinary tract infection,HELPS,0.92,ed,urinary tract infection,The patient has a history of UTI.
MI,acronym,myocardial infarction,HELPS,0.913,me,myocardial infarction,The patient has a history of MI.
MM,acronym,mul-TI-pul my-eh-LO-ma,HELPS,0.909,,multiple myeloma,The patient has a history of MM.
MS,acronym,multiple sclerosis,HELPS,0.9,ev,multiple sclerosis,The patient has a history of MS.
ICD,acronym,implantable cardioverter defibrillator,HELPS,0.9,ic,implantable cardioverter defibrillator,The patient has a history of ICD.
ECG,acronym,electrocardiogram,HELPS,0.895,xe,electrocardiogram,The patient has a history of ECG.
PE,acronym,pulmonary embolism,HELPS,0.895,p,pulmonary embolism,The patient has a history of PE.
ABG,acronym,arterial blood gas,HELPS,0.895,b,arterial blood gas,The patient has a history of ABG.
GI,acronym,gastrointestinal,HELPS,0.889,gy,gastrointestinal,The patient has a history of GI.
PCI,acronym,percutaneous coronary intervention,HELPS,0.889,pi,percutaneous coronary intervention,The patient has a history of PCI.
AICD,acronym,automatic implantable cardioverter defibrillator,HELPS,0.882,aed,automatic implantable cardioverter defibrillator,The patient has a history of AICD.
PTCA,acronym,percutaneous transluminal coronary angioplasty,HELPS,0.88,ptca,percutaneous transluminal coronary angioplasty,The patient has a history of PTCA.
ALS,acronym,amyotrophic lateral sclerosis,HELPS,0.879,else,amyotrophic lateral sclerosis,The patient has a history of ALS.
NICU,acronym,neonatal intensive care unit,HELPS,0.875,niku,neonatal intensive care unit,The patient has a history of NICU.
TSH,acronym,thyroid stimulating hormone,HELPS,0.871,tech,thyroid stimulating hormone,The patient has a history of TSH.
MICU,acronym,medical intensive care unit,HELPS,0.871,myku,medical intensive care unit,The patient has a history of MICU.
ACE,acronym,angiotensin-converting enzyme,HELPS,0.871,ace,angiotensinconverting enzyme,The patient has a history of ACE.
N/V/D,acronym,nausea vomiting and diarrhea,HELPS,0.867,nv,nausea vomiting and diarrhea,The patient has a history of N/V/D.
BM,acronym,bowel movement,HELPS,0.867,b,bowel movement,The patient has a history of BM.
Rx,acronym,prescription,HELPS,0.867,r x,prescription,The patient has a history of Rx.
MRI,acronym,magnetic resonance imaging,HELPS,0.862,mri,magnetic resonance imaging,The patient has a history of MRI.
TIA,acronym,transient ischemic attack,HELPS,0.857,tia,transient ischemic attack,The patient has a history of TIA.
PACU,acronym,post-anesthesia care unit,HELPS,0.852,paq,postanesthesia care unit,The patient has a history of PACU.
